Data,Nome do Feriado,Categoria,Descrição,Estado
22/01/2026,Dia do Católico,ESTADUAL,"Dia 20 de janeiro, é feriado no calendário oficial do Governo do Estado do Acre, conforme lei Nº 3137/2016. O Dia do Católico foi criado em 2016, em similaridade ao dia do Evngélico",AC
23/01/2026,Dia do Evangélico,ESTADUAL,Dia do Evangélico,AC
08/03/2026,Dia da Mulher,ESTADUAL,"Feriado conforme lei Nº 1411/2001, mas adiado para Sexta-Feira. O Dia Internacional da Mulher, celebrado em 8 de março, tem como origem as manifestações das mulheres russas por melhores condições de vida e trabalho e contra a entrada da Rússia czarista na Primeira1 Guerra Mundial.",AC
15/06/2026,Aniversário do Acre,ESTADUAL,"De acordo com a Lei Estadual nº 14, de 02 de setembro de 1964",AC
06/08/2026,Revolução Acreana,ESTADUAL,,AC
05/09/2026,Dia da Amazônia,ESTADUAL,"Conforme a lei Nº 243/1968, no dia 5 de setembro comemora-se no Acre o dia da Amazônia, a maior floresta do mundo. Feriado adiado para Sexta-Feira.",AC
24/06/2026,Dia de São João,ESTADUAL,"O mastro de São João, conhecido em Portugal também como o mastro dos Santos Populares, é erguido durante a festa junina para celebrar os três santos ligados a essa festa.",AL
29/06/2026,Dia de São Pedro,ESTADUAL,"São Pedro foi um dos doze apóstolos de Jesus Cristo, segundo o Novo Testamento e, mais especificamente, os quatro Evangelhos. Os católicos consideram Pedro como o primeiro Bispo de Roma, sendo por isso o primeiro Papa da Igreja Católica.",AL
16/09/2026,Emancipação de Alagoas,ESTADUAL,Comemoração da emancipação política do estado de Alagoas. Inicialmente o território alagoano constituía a parte sul da Capitania de Pernambuco e só conseguiu sua autonomia em 1817.,AL
30/11/2026,Dia do Evangélico,ESTADUAL,"Dia do evangélico, conforme decreto nº 56.880, de 19 de Dezembro de 2017.",AL
05/09/2026,Aniversário do Amazonas,ESTADUAL,Dia da elevação do Amazonas à categoria de província.,AM
08/12/2026,Dia de Nossa Senhora da Conceição,ESTADUAL,,AM
19/03/2026,Dia de São José,ESTADUAL,São José é o santo padroeiro do Estado do Amapá.,AP
15/05/2026,Dia de Cabralzinho,ESTADUAL,"Homenagem a Francisco Xavier da Veiga Cabral, o Cabralzinho, que rechaçou uma invasão francesa em 15 de maio de 1895. Conforme lei 2.213/2017",AP
25/07/2026,Dia de São Tiago,ESTADUAL,De acordo com a Lei nº 1.696 de 09 de julho de 2012,AP
13/09/2026,Aniversário da criação do ex-território federal do Amapá,ESTADUAL,Dia da criação do território federal do Amapá.,AP
30/11/2026,Dia do Evangélico,ESTADUAL,Dia 30 de Novembro comemora-se o dia o evangélico no estado do Amapá.,AP
02/07/2026,Independência da Bahia,ESTADUAL,"A Independência da Bahia foi um movimento que, motivado pelo sentimento federalista emancipador de seu povo, em 2 de julho de 1823 terminou pela inserção daquela então província na unidade nacional brasileira.",BA
25/03/2026,Data Magna do Ceará,ESTADUAL,"É a data magna onde ocorrem as comemorações do estado do Ceará, sendo o mesmo dia da abolição da escravidão neste estado. O Ceará foi a primeira província brasileira a aboliar a escravidão.",CE
30/11/2026,Dia do Evangélico,ESTADUAL,O presidente Lula sancionou a Lei Nº 12.328 que torna o dia 30 de novembro o Dia Nacional do Evangélico. Este dia é feriado no DF e em alguns outros estados,DF
28/04/2026,Aniversário do Estado,ESTADUAL,Aniversário do Estado,ES
28/07/2026,Adesão ao Império Brasileiro,ESTADUAL,"As tropas de Portugal depois de cercadas por terra e mar, acabaram por se render, e o Maranhão, a partir de 28 de julho de 1823, deixou de ser estado colonial de Portugal, tornando-se província do Império do Brasil.",MA
11/10/2026,Aniversário do Mato Grosso do Sul,ESTADUAL,Comemorações do aniversário de criação do Estado do Mato Grosso do Sul.,MS
15/08/2026,Adesão ao Império Brasileiro,ESTADUAL,"""A Província do Pará foi a última a ser incorporada ao Império, quando da Independência do Brasil uma vez que, com fortes laços com Portugal, não aceitou fazer parte da nova nação.",PA
08/12/2026,N. Sra. Conceição,ESTADUAL,Dia de Nossa Senhora da Conceição,PA
26/07/2026,Homenagem a João Pessoa,ESTADUAL,Homenagem ao ex-presidente João Pessoa que foi assassinado em 26 de Julho de 1930.,PB
05/08/2026,Fundação do Estado da Paraíba,ESTADUAL,Comemoração da fundação do estado da Paraíba.,PB
06/03/2026,Revolução Pernambucana,ESTADUAL,"Data Magna de Pernambuco (Lei nº 16.059, de 8 de junho de 2017). A chamada Revolução Pernambucana, também conhecida como Revolução dos Padres, eclodiu em 6 de março de 1817 na então Província de Pernambuco, no Brasil.",PE
24/06/2026,Dia de São João,ESTADUAL,"O mastro de São João, conhecido em Portugal também como o mastro dos Santos Populares, é erguido durante a festa junina para celebrar os três santos ligados a essa festa.",PE
19/10/2026,Dia do Piauí,ESTADUAL,"Independência da província do Piauí da coroa portuguesa, que ocorreu na cidade de Parnaiba. Feriado Estadual de acordo com a Lei Estadual nº 176, de 30.08.1937.",PI
17/02/2026,Carnaval,ESTADUAL,"Feriado estadual no Rio de Janeiro, conforme lei 5243/2008. Ponto Facultativo no restante do Brasil",RJ
23/04/2026,Dia de São Jorge,ESTADUAL,"São Jorge foi, de acordo com a tradição, um padre e soldado romano no exército do imperador Diocleciano, venerado como mártir cristão.",RJ
03/10/2026,Mártires de Cunhaú e Uruaçu,ESTADUAL,"No dia 03 de outubro de 1645, ocorreu o Massacre de Uruaçu, onde 28 cristãos foram mortos por índios e soldados holandeses.",RN
04/01/2026,Aniversário de Rondônia,ESTADUAL,Aniversário da data de criação do Estado de Rondônia.,RO
18/06/2026,Dia do Evangélico,ESTADUAL,Dia 18 de Junho comemora-se o dia o evangélico no estado de Rondônia.,RO
05/10/2026,Aniversário de Roraima,ESTADUAL,Comemorações do Aniversário da criação do Estado de Roraima.,RR
20/09/2026,Proc. República Rio Grandense,ESTADUAL,"Em 1835 foi desencadeada a Revolução Farroupilha, que manifestava o descontentamento da Província de São Pedro do Rio Grande com o governo regencial do Império do Brasil. O movimento culminou na proclamação da República Rio-Grandense.",RS
11/08/2026,Dia de Santa Catarina,ESTADUAL,"A Capitania de Santa Catarina foi criada em 11 de agosto de 1738. Em 28 de fevereiro de 1821 torna-se uma província, que viria a ser o atual estado de Santa Catarina com a Proclamação da República.",SC
08/07/2026,Aniversário de Sergipe,ESTADUAL,Aniversário da Autonomia Política de Sergipe.,SE
09/07/2026,Revolução Constitucionalista,ESTADUAL,A Revolução Constitucionalista de 1932 foi um movimento armado que tinha por objetivo a derrubada do Governo Provisório de Getúlio Vargas e a promulgação de uma nova constituição para o Brasil.,SP
08/09/2026,Padroeira de Tocantins,ESTADUAL,"O nascimento de Nossa Senhora ou a Natividade de Maria é uma festa litúrgica das Igrejas Católica e Anglicana, celebrada no dia 8 de setembro, nove meses após a sua Imaculada Conceição, celebrada em 8 de dezembro.",TO
05/10/2026,Aniversário de Tocantins,ESTADUAL,"Em 5 de outubro de 1988, o norte de Goiás foi emancipado, passando a se chamar Tocantins. Em 1º de janeiro de 1989, a Unidade Federativa do Tocantins foi oficialmente instalada.",TO
16/02/2026,Carnaval,FACULTATIVO,"Ponto Facultativo, ou seja, cabe às empresas e orgão públicos decidirem se trabalharão ou não.",BR
16/02/2026,Segunda de Carnaval,FACULTATIVO,Ponto Facultativo nas repartições públicas,BR
17/02/2026,Carnaval,FACULTATIVO,"Carnaval NÃO é um feriado oficial, é Ponto Facultativo, ou seja, cabe às empresas e orgão públicos decidirem se trabalharão ou não.",BR
17/02/2026,Terça de Carnaval,FACULTATIVO,"Feriado apenas no Comércio, segundo Lei nº 5913, de 21 de junho de 1991",BR
18/02/2026,Carnaval,FACULTATIVO,Ponto Facultativo até às 14h.,BR
18/02/2026,Quarta Feira de Cinzas,FACULTATIVO,Ponto Facultativo nas repartições públicas,BR
28/02/2026,Facultativo,FACULTATIVO,"aniversário de morte de José Pedro Dias, fundador de Juara",MT
19/03/2026,Dia de São José,FACULTATIVO,Padroeiro do Estado do Ceará,CE
19/03/2026,São José,FACULTATIVO,Dia de São José padroeiro de Mafra,SC
29/03/2026,Aniversário da Cidade,FACULTATIVO,"Fundação de Curitiba - Aniversário da Cidade (Ponto Facultativo), conforme Lei Municipal nº229,26/12/49",PR
02/04/2026,Quinta-feira santa,FACULTATIVO,,BR
04/06/2026,Corpus Christi,FACULTATIVO,"Ponto Facultativo no País, mas Feriado Municipal em algumas cidades.. Corpus Christi, expressão latina que significa Corpo de Cristo, é uma festa Cristã realizada na quinta-feira seguinte ao domingo da Santíssima Trindade.",BR
26/07/2026,Fundação da Cidade de Goiás,FACULTATIVO,"Feriado para Servidores Públicos. Determinado pelo Estatuto dos Funcionários Públicos Civis do Estado de Goiás e de suas Autarquias, Lei nº 10.460, de 22 de fevereiro de 1988",GO
15/10/2026,Dia do Professor,FACULTATIVO,"FERIADO ESCOLAR - No dia 15 de outubro de 1827 (dia consagrado à educadora Santa Teresa de Ávila), o Imperador do Brasil, Pedro I, baixou um Decreto Imperial que criou o Ensino Elementar no Brasil. Pelo decreto, ""todas as cidades, vilas e lugarejos teriam suas escolas de primeiras letras""",BR
24/10/2026,Pedra fundamental de Goiânia,FACULTATIVO,"Feriado para Servidores Públicos. Determinado pelo Estatuto dos Funcionários Públicos Civis do Estado de Goiás e de suas Autarquias, Lei nº 10.460, de 22 de fevereiro de 1988",GO
28/10/2026,Dia do Servidor Público,FACULTATIVO,Dia do Servidor Público - art. 249 da Lei Municipal nº 2.215/1991. O dia do servidor público é feriado apenas para funcionários públicos.,BR
31/12/2026,"Após o meio-dia, Véspera de Ano Novo",FACULTATIVO,De acordo com o Decreto nº 18882-E de 01 de junho de 2015,BR
Data,Nome do Feriado,Categoria,Descrição,Estado
01/01/2026,Ano Novo,NACIONAL,"O Ano-Novo ou Réveillon é um evento que acontece quando uma cultura celebra o fim de um ano e o começo do próximo. A celebração do evento é também chamada Réveillon, termo oriundo do verbo francês réveiller, que em português significa DESPERTAR",BR
03/04/2026,Sexta-Feira Santa,NACIONAL,"Também chamada de ""Sexta Feira da Paixão"" é a sexta-feira que ocorre antes do domingo de Páscoa, e é o dia que os cristãos lembram da crucificação de Cristo.",BR
21/04/2026,Dia de Tiradentes,NACIONAL,"Joaquim José da Silva Xavier, o Tiradentes foi um dentista, tropeiro, minerador, comerciante, militar e ativista político. É reconhecido como mártir da Inconfidência Mineira e herói nacional. O dia de sua execução, 21 de abril, é feriado nacional.",BR
01/05/2026,Dia do Trabalho,NACIONAL,"O Dia do Trabalhador ou Dia Internacional dos Trabalhadores é celebrado anualmente no dia 1º de Maio em numerosos países do mundo, sendo feriado no Brasil, em Portugal e em outros países.",BR
07/09/2026,Independência do Brasil,NACIONAL,"O Dia da Indepência do Brasil, oficialmente a data comemorada é a de 7 de setembro de 1822, em que ocorreu o chamado ""Grito do Ipiranga"".",BR
12/10/2026,Nossa Senhora Aparecida,NACIONAL,"Nossa Senhora da Conceição Aparecida é a padroeira do Brasil. Sua festa é celebrada em 12 de outubro, um feriado nacional desde que o Papa João Paulo II consagrou a Basílica em 1980.",BR
02/11/2026,Dia de Finados,NACIONAL,"O Dia de Finados ou Dia dos Fiéis Defuntos, (conhecido ainda como Dia dos Mortos no México), é celebrado pela Igreja Católica no dia 2 de novembro e é Feriado Nacional.",BR
15/11/2026,Proclamação da República,NACIONAL,"A Proclamação da República foi um levante político-militar ocorrido em 15 de novembro de 1889 que instaurou a forma Republicana Federativa Presidencialista de governo no Brasil, derrubando a Monarquia e, por conseguinte, o imperador dom Pedro II.",BR
20/11/2026,Consciência Negra,NACIONAL,"Dia Nacional de Zumbi ou Dia da Consciência Negra é Feriado Nacional, conforme Lei 14.759/2023",BR
25/12/2026,Natal,NACIONAL,"O Natal é comemorado anualmente em 25 de Dezembro. Originalmente destinado a celebrar o nascimento anual do Deus Sol no solstício de inverno, foi adaptado pela Igreja Católica no 3o século d.C., para permitir a conversão dos povos pagãos sob o domínio do Império Romano, passando a comemorar o nascimento de Jesus de Nazaré.",BR
